Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-22	C6	5144	LB	0	FALSE	11	1800	0.099	sunrise
none	0		2022-03-22	C7	0	EZ	0	FALSE	3	1800	0.084	sunrise
none	0		2022-03-22	C8	0	EZ	0	FALSE	11	1800	0.083	sunrise
none	0		2022-03-22	C9	5123	EZ	0	FALSE	3	1800	0.108	sunrise
none	0		2022-03-22	C10	5123	EZ	0	FALSE	11	1800	0.107	sunrise
none	0		2022-03-22	C11	5144	EZ	0	FALSE	3	1800	0.111	sunrise
none	0		2022-03-22	C12	5144	EZ	0	FALSE	11	1800	0.111	sunrise
none	0		2022-03-22	D1	0	LB	0	FALSE	4	1800	0.083	sunrise
none	0		2022-03-22	D2	0	LB	0	FALSE	12	1800	0.084	sunrise
none	0		2022-03-22	D3	5123	LB	0	FALSE	4	1800	0.098	sunrise
none	0		2022-03-22	D4	5123	LB	0	FALSE	12	1800	0.097	sunrise
none	0		2022-03-22	D5	5144	LB	0	FALSE	4	1800	0.1	sunrise
none	0		2022-03-22	D6	5144	LB	0	FALSE	12	1800	0.099	sunrise
none	0		2022-03-22	D7	0	EZ	0	FALSE	4	1800	0.087	sunrise
none	0		2022-03-22	D8	0	EZ	0	FALSE	12	1800	0.089	sunrise
none	0		2022-03-22	D9	5123	EZ	0	FALSE	4	1800	0.107	sunrise
none	0		2022-03-22	D10	5123	EZ	0	FALSE	12	1800	0.106	sunrise
none	0		2022-03-22	D11	5144	EZ	0	FALSE	4	1800	0.106	sunrise
none	0		2022-03-22	D12	5144	EZ	0	FALSE	12	1800	0.11	sunrise
none	0		2022-03-22	E1	0	LB	0	FALSE	5	1800	0.097	sunrise
none	0		2022-03-22	E2	0	LB	0	FALSE	13	1800	0.084	sunrise
none	0		2022-03-22	E3	5123	LB	0	FALSE	5	1800	0.099	sunrise
none	0		2022-03-22	E4	5123	LB	0	FALSE	13	1800	0.097	sunrise
none	0		2022-03-22	E5	5144	LB	0	FALSE	5	1800	0.104	sunrise
none	0		2022-03-22	E6	5144	LB	0	FALSE	13	1800	0.098	sunrise
none	0		2022-03-22	E7	0	EZ	0	FALSE	5	1800	0.09	sunrise
none	0		2022-03-22	E8	0	EZ	0	FALSE	13	1800	0.087	sunrise
none	0		2022-03-22	E9	5123	EZ	0	FALSE	5	1800	0.111	sunrise
none	0		2022-03-22	E10	5123	EZ	0	FALSE	13	1800	0.108	sunrise
none	0		2022-03-22	E11	5144	EZ	0	FALSE	5	1800	0.104	sunrise
none	0		2022-03-22	E12	5144	EZ	0	FALSE	13	1800	0.111	sunrise
none	0		2022-03-22	F1	0	LB	0	FALSE	6	1800	0.102	sunrise
none	0		2022-03-22	F2	0	LB	0	FALSE	14	1800	0.086	sunrise
none	0		2022-03-22	F3	5123	LB	0	FALSE	6	1800	0.098	sunrise
none	0		2022-03-22	F4	5123	LB	0	FALSE	14	1800	0.097	sunrise
none	0		2022-03-22	F5	5144	LB	0	FALSE	6	1800	0.103	sunrise
none	0		2022-03-22	F6	5144	LB	0	FALSE	14	1800	0.101	sunrise
none	0		2022-03-22	F7	0	EZ	0	FALSE	6	1800	0.091	sunrise
none	0		2022-03-22	F8	0	EZ	0	FALSE	14	1800	0.085	sunrise
none	0		2022-03-22	F9	5123	EZ	0	FALSE	6	1800	0.11	sunrise
